student_token,major,rank,resource_type,resource_id,resource_title,resource_url,als_score
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,1,tiki_book,TIKI_277392524,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156,0.9583
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,2,ueh_repository,REPO_UEH_62960,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),https://digital.lib.ueh.edu.vn/handle/UEH/62960,0.9413
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,3,tiki_book,TIKI_276237667,Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668,0.8829
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,4,ueh_repository,REPO_UEH_61148,Thực trạng thực thi pháp luật về quy hoạch đô thị trên địa bàn tỉnh Cà Mau,https://digital.lib.ueh.edu.vn/handle/UEH/61148,0.8698
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,5,ueh_repository,REPO_UEH_63276,Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) ở các doanh nghiệp tại TP. Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63276,0.8571
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,6,ueh_repository,REPO_UEH_63148,Các nhân tố ảnh hưởng đến chất lượng thông tin kế toán tại các doanh nghiệp dịch vụ ứng dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) trên địa bàn khu vực Đông Nam Bộ,https://digital.lib.ueh.edu.vn/handle/UEH/63148,0.8288
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,7,ueh_repository,REPO_UEH_62975,Hoàn thiện hệ thống quản lý chất lượng tích hợp tại Công ty Cổ phần Mỹ phẩm Sài Gòn (SCC),https://digital.lib.ueh.edu.vn/handle/UEH/62975,0.8072
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,8,tiki_book,TIKI_279286687,- Đơn Vị Hành Chính Việt Nam - Sau Sắp Xếp Và Vận Hành Chính Quyền Địa Phương Hai Cấp,https://tiki.vn/sach-don-vi-hanh-chinh-viet-nam-sau-sap-xep-va-van-hanh-chinh-quyen-dia-phuong-hai-cap-p279286687.html?spid=279286688,0.7858
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,9,tiki_book,TIKI_275873742,"Tây Ban Nha Ấn Tượng Kiến Trúc Xưa Và Nay (In màu) - Đặng Thái Hoàng, Bùi Phương Nga",https://tiki.vn/tay-ban-nha-an-tuong-kien-truc-xua-va-nay-in-mau-dang-thai-hoang-bui-phuong-nga-p275873742.html?spid=275873743,0.7392
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,10,tiki_book,TIKI_53259393,- Mẹ Bỉm Sữa Kinh Doanh Online DL,https://tiki.vn/sach-me-bim-sua-kinh-doanh-online-dl-p53259393.html?spid=53259395,0.7354
stu_0082f6f3f256c8f5,Quản lý công,1,tiki_book,TIKI_168780451,"Thị Trường, Nhà Nước Và Người Dân: Kinh Tế Học Về Chính Sách Công",https://tiki.vn/thi-truong-nha-nuoc-va-nguoi-dan-kinh-te-hoc-ve-chinh-sach-cong-p168780451.html?spid=168780452,0.874
stu_0082f6f3f256c8f5,Quản lý công,2,tiki_book,TIKI_94851869,"Nghiệp Vụ Dành Cho Kế Toán Kiểm Toán Nội Bộ Chuẩn Mực, Nguyên Tắc Đạo Đức Nghề Nghiệp Và Quy Chế Kiểm Toán Nội Bộ Trong Các Cơ Quan Nhà Nước, Đơn Vị Sự Nghiệp Công Lập Và Doanh Nghiệp",https://tiki.vn/sach-nghiep-vu-danh-cho-ke-toan-kiem-toan-noi-bo-chuan-muc-nguyen-tac-dao-duc-nghe-nghiep-va-quy-che-kiem-toan-noi-bo-trong-cac-co-quan-nha-nuoc-don-vi-su-nghiep-cong-lap-va-doanh-nghiep-p94851869.html?spid=94851870,0.8704
stu_0082f6f3f256c8f5,Quản lý công,3,tiki_book,TIKI_277165601,CFO Quản Trị Tài Chính Công Ty Cổ Phần,https://tiki.vn/cfo-quan-tri-tai-chinh-cong-ty-co-phan-p277165601.html?spid=277165602,0.8699
stu_0082f6f3f256c8f5,Quản lý công,4,ueh_repository,REPO_UEH_61534,"Nghiên cứu các yếu tố ảnh hưởng đến sự hài lòng của người dân đối với dịch vụ hành chính công tại Uỷ ban nhân dân phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh",https://digital.lib.ueh.edu.vn/handle/UEH/61534,0.8695
stu_0082f6f3f256c8f5,Quản lý công,5,ueh_repository,REPO_UEH_62794,Thực hiện tiết kiệm chi kinh phí quản lý hành chính tại Sở Tài chính tỉnh Bà Rịa - Vũng Tàu,https://digital.lib.ueh.edu.vn/handle/UEH/62794,0.8502
stu_0082f6f3f256c8f5,Quản lý công,6,tiki_book,TIKI_533036,Đạo Đức Nghề Nghiệp Của Kiểm Toán Viên Độc Lập,https://tiki.vn/sach-dao-duc-nghe-nghiep-cua-kiem-toan-vien-doc-lap-p533036.html?spid=89424691,0.8282
stu_0082f6f3f256c8f5,Quản lý công,7,ueh_repository,REPO_UEH_62646,Các nhân tố ảnh hưởng đến tính minh bạch của thông tin trên báo cáo tài chính của các công ty niêm yết có vốn đầu tư nước ngoài trên Sàn Giao dịch Chứng khoán TP. HCM,https://digital.lib.ueh.edu.vn/handle/UEH/62646,0.8151
stu_0082f6f3f256c8f5,Quản lý công,8,ueh_repository,REPO_UEH_61090,Nâng cao chất lượng dịch vụ công nghệ thông tin của Trung tâm Phần mềm Viettel 1 - chi nhánh Tập đoàn Công nghiệp - Viễn thông Quân đội,https://digital.lib.ueh.edu.vn/handle/UEH/61090,0.7991
stu_0082f6f3f256c8f5,Quản lý công,9,ueh_repository,REPO_UEH_63321,Nghiên cứu sự ảnh hưởng của các áp lực công việc đối với hành vi bán hàng phi đạo đức trường hợp ngành bảo hiểm nhân thọ tại Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/63321,0.788
stu_0082f6f3f256c8f5,Quản lý công,10,ueh_repository,REPO_UEH_61149,Áp dụng mô hình tam giác gian lận trong vấn đề đạo đức nghề nghiệp của kiểm toán viên Nhà nước,https://digital.lib.ueh.edu.vn/handle/UEH/61149,0.7718
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,1,tiki_book,TIKI_277392524,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156,0.8946
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,2,ueh_repository,REPO_UEH_62960,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),https://digital.lib.ueh.edu.vn/handle/UEH/62960,0.8827
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,3,tiki_book,TIKI_276237667,Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668,0.829
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,4,ueh_repository,REPO_UEH_61148,Thực trạng thực thi pháp luật về quy hoạch đô thị trên địa bàn tỉnh Cà Mau,https://digital.lib.ueh.edu.vn/handle/UEH/61148,0.7885
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,5,ueh_repository,REPO_UEH_63276,Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) ở các doanh nghiệp tại TP. Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63276,0.777
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,6,ueh_repository,REPO_UEH_63148,Các nhân tố ảnh hưởng đến chất lượng thông tin kế toán tại các doanh nghiệp dịch vụ ứng dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) trên địa bàn khu vực Đông Nam Bộ,https://digital.lib.ueh.edu.vn/handle/UEH/63148,0.7514
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,7,ueh_repository,REPO_UEH_62975,Hoàn thiện hệ thống quản lý chất lượng tích hợp tại Công ty Cổ phần Mỹ phẩm Sài Gòn (SCC),https://digital.lib.ueh.edu.vn/handle/UEH/62975,0.7318
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,8,tiki_book,TIKI_279286687,- Đơn Vị Hành Chính Việt Nam - Sau Sắp Xếp Và Vận Hành Chính Quyền Địa Phương Hai Cấp,https://tiki.vn/sach-don-vi-hanh-chinh-viet-nam-sau-sap-xep-va-van-hanh-chinh-quyen-dia-phuong-hai-cap-p279286687.html?spid=279286688,0.7125
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,9,tiki_book,TIKI_275873742,"Tây Ban Nha Ấn Tượng Kiến Trúc Xưa Và Nay (In màu) - Đặng Thái Hoàng, Bùi Phương Nga",https://tiki.vn/tay-ban-nha-an-tuong-kien-truc-xua-va-nay-in-mau-dang-thai-hoang-bui-phuong-nga-p275873742.html?spid=275873743,0.6702
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,10,tiki_book,TIKI_53259393,- Mẹ Bỉm Sữa Kinh Doanh Online DL,https://tiki.vn/sach-me-bim-sua-kinh-doanh-online-dl-p53259393.html?spid=53259395,0.6667
stu_00a2a78a63f2c162,Đầu tư tài chính,1,tiki_book,TIKI_531592,Thị Trường Tài Chính,https://tiki.vn/sach-thi-truong-tai-chinh-p531592.html?spid=89424628,0.9524
stu_00a2a78a63f2c162,Đầu tư tài chính,2,tiki_book,TIKI_77339644,Phân tích kỹ thuật trong thị trường tài chính,https://tiki.vn/phan-tich-ky-thuat-trong-thi-truong-tai-chinh-p77339644.html?spid=84882958,0.9446
stu_00a2a78a63f2c162,Đầu tư tài chính,3,ueh_repository,REPO_UEH_62540,Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/62540,0.9094
stu_00a2a78a63f2c162,Đầu tư tài chính,4,ueh_repository,REPO_UEH_62544,Ảnh hưởng của các yếu tố tài chính hành vi suy nghiệm đến hiệu suất đầu tư của nhà đầu tư cá nhân trên thị trường chứng khoán Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/62544,0.9075
stu_00a2a78a63f2c162,Đầu tư tài chính,5,tiki_book,TIKI_279336919,- Kỹ Thuật Phân Tích Đầu Tư Chứng Khoán (Tái Bản 2026),https://tiki.vn/sach-ky-thuat-phan-tich-dau-tu-chung-khoan-tai-ban-2026-p279336919.html?spid=279336920,0.8963
stu_00a2a78a63f2c162,Đầu tư tài chính,6,ueh_repository,REPO_UEH_63165,Phân tích hành vi khách hàng trong lĩnh vực bán lẻ với mô hình RFM tiếp cận bằng kỹ thuật học máy không giám sát,https://digital.lib.ueh.edu.vn/handle/UEH/63165,0.8963
stu_00a2a78a63f2c162,Đầu tư tài chính,7,tiki_book,TIKI_277413581,Định Giá Doanh Nghiệp Và Tài Sản - Ứng Dụng Trong Đầu Tư Tài Chính,https://tiki.vn/dinh-gia-doanh-nghiep-va-tai-san-ung-dung-trong-dau-tu-tai-chinh-p277413581.html?spid=277413582,0.8929
stu_00a2a78a63f2c162,Đầu tư tài chính,8,tiki_book,TIKI_276290847,Đầu Tư Vào Vàng - Khoản Đầu Tư Tuyệt Đối An Toàn Thiết Yếu Cho Mọi Danh Mục Đầu Tư (Tái Bản 2024),https://tiki.vn/dau-tu-vao-vang-khoan-dau-tu-tuyet-doi-an-toan-thiet-yeu-cho-moi-danh-muc-dau-tu-tai-ban-2024-p276290847.html?spid=276427763,0.8595
stu_00a2a78a63f2c162,Đầu tư tài chính,9,ueh_repository,REPO_UEH_61422,Quản trị rủi ro danh mục tín dụng tại Ngân hàng thương mại cổ phần Đầu tư và phát Triển Việt Nam – Chi nhánh Bến Tre,https://digital.lib.ueh.edu.vn/handle/UEH/61422,0.8293
stu_00a2a78a63f2c162,Đầu tư tài chính,10,ueh_repository,REPO_UEH_61081,Đáp ứng kỳ vọng của nhà đầu tư thông qua hoạt động thuê tài sản tại Công ty Cổ phần Đầu tư Xây dựng Nam Nguyên,https://digital.lib.ueh.edu.vn/handle/UEH/61081,0.8081
stu_00b9e0b6b2593639,Khoa học máy tính,1,tiki_book,TIKI_269955449,- Giáo trình cấu trúc dữ liệu và giải thuật,https://tiki.vn/sach-giao-trinh-cau-truc-du-lieu-va-giai-thuat-p269955449.html?spid=269955450,0.8617
stu_00b9e0b6b2593639,Khoa học máy tính,2,ueh_repository,REPO_UEH_62541,Xây dựng thị trường chứng khoán phi tập trung dựa trên công nghệ Blockchain,https://digital.lib.ueh.edu.vn/handle/UEH/62541,0.8578
stu_00b9e0b6b2593639,Khoa học máy tính,3,tiki_book,TIKI_5563321,"Bùng Nổ Bitcoin - Công Nghệ Blockchain, Fintech 4.0 hay Bong Bóng?",https://tiki.vn/bung-no-bitcoin-cong-nghe-blockchain-fintech-4-0-hay-bong-bong-p5563321.html?spid=20485533,0.837
stu_00b9e0b6b2593639,Khoa học máy tính,4,tiki_book,TIKI_202028583,Phân Tích Dữ Liệu Với R (Tái Bản 2022),https://tiki.vn/sach-phan-tich-du-lieu-voi-r-tai-ban-2022-p202028583.html?spid=247795504,0.8154
stu_00b9e0b6b2593639,Khoa học máy tính,5,ueh_repository,REPO_UEH_61159,Quản lý rủi ro tác nghiệp đối với hoạt động tín dụng tại Ngân hàng TMCP Công thương Việt Nam chi nhánh Cần Thơ,https://digital.lib.ueh.edu.vn/handle/UEH/61159,0.7998
stu_00b9e0b6b2593639,Khoa học máy tính,6,tiki_book,TIKI_277181136,Quản lý rủi ro nợ công ở Nhật Bản,https://tiki.vn/quan-ly-rui-ro-no-cong-o-nhat-ban-p277181136.html?spid=277181137,0.7802
stu_00b9e0b6b2593639,Khoa học máy tính,7,tiki_book,TIKI_2287441,​Fintech 4.0 - Những Điển Hình Thành Công Trong Cuộc Cách Mạng Công Nghệ Tài Chính,https://tiki.vn/sach-fintech-4-0-nhung-dien-hinh-thanh-cong-trong-cuoc-cach-mang-cong-nghe-tai-chinh-p2287441.html?spid=2287663,0.7585
